32,1,2,33,2,28,0,29,5,1,2,14,40,4,4,4,21,6,3,33,35,18,35,34,2,6,0,2,32,51,38,0,36,1,4,26,41,34,32,32,3,5,4,4,7,27,19,33,6,8,27,8,11,26,1,6,0,7,17,1,8,3,29,6,8,27,17,36,28,3,2,6,11,39,26,8,45,48,2,44,14,7,6,6,6,7,1,4,37,3,21,4,27,6,2,5,4,2,5,5,2,27,36,27,5,3,28,2,4,3,7,6,3,37,38,15,0,20,15,30,29,26,28,1,0,33,5,42,8,51,6,25,4,3,30,0,37,3,7,4,25,35,30,25,4,4,24,15,6,32,20,0,37,3,3,22,1,59,40,1,3,3,26,3,2,27,48,6,3,26
0,1,41,10,7,32,8,1,2,0,5,0,35,43,4,37,3,1,3,5,4,3,8,5,30,30,7,9,3,2,1,30,0,27,42,1,8,4,1,2,5,24,2,32,7,23,0,20,35,3,5,31,6,3,32,4,35,1,10,10,1,20,2,36,36,19,7,21,1,5,30,4,36,35,5,23,2,0,1,5,3,56,2,49,8,19,3,8,25,10,4,4,28,4,7,4,6,16,32,30,26,5,27,0,3,7,0,4,32,1,5,3,41,9,30,0,9,4,5,29,3,3,3,7,26,7,2,5,49,8,25,30,50,1,29,6,39,2,15,8,36,5,1,3,8,1,38,3,16,36,39,29,46,29,29,30,49,30,32,6,4,3,1,2,44,5,3,26,3,0
12,1,1,6,15,4,2,50,0,3,2,3,1,6,44,3,33,7,31,14,6,1,47,5,0,3,2,32,37,18,1,6,37,10,36,27,4,0,6,23,7,38,1,29,3,44,5,6,20,0,27,11,7,1,48,35,5,0,8,1,3,23,3,1,5,0,28,1,3,9,3,0,5,30,37,2,3,40,6,23,17,5,18,3,28,4,7,20,7,4,32,37,22,1,38,3,4,3,6,1,36,25,1,45,12,47,29,43,8,21,36,6,1,2,33,24,33,30,1,6,15,2,5,5,33,12,3,7,63,33,29,2,0,40,12,3,4,2,58,7,3,27,50,35,3,28,37,25,24,36,3,1,7,7,17,6,0,7,34,0,3,39,2,8,6,14,3,0,3,2
2,5,3,1,44,2,0,2,6,31,6,1,26,2,16,3,40,5,2,22,4,8,5,2,4,5,38,0,1,19,41,6,7,30,2,1,2,1,16,42,7,23,29,1,29,3,2,0,32,22,4,34,3,5,2,4,7,42,2,28,38,5,2,2,1,0,2,4,3,3,6,3,4,2,12,23,4,3,55,6,7,5,30,3,4,2,30,6,35,5,3,0,3,2,3,1,1,6,36,32,30,5,2,22,1,16,36,33,4,8,46,11,4,20,37,4,5,3,7,31,2,23,5,2,5,3,2,5,39,2,39,4,4,6,37,31,38,39,39,33,0,3,4,8,35,0,7,11,6,31,2,3,44,2,5,33,20,4,4,0,28,2,8,1,7,3,0,34,4,6
8,28,8,3,2,27,13,16,6,43,0,1,30,8,29,10,3,4,1,29,32,2,5,4,3,5,7,0,6,7,3,1,0,5,2,3,2,3,34,5,25,1,7,42,7,6,9,6,3,2,59,4,20,35,26,7,6,48,5,1,4,20,4,38,4,16,9,6,9,1,3,63,3,38,2,27,3,6,33,4,7,21,5,6,6,45,33,41,2,4,39,5,3,0,2,5,5,4,30,0,4,4,39,52,25,34,38,24,6,0,49,11,14,38,4,16,26,3,1,2,38,1,5,3,5,2,39,3,6,7,9,2,3,37,0,54,4,2,3,3,3,7,4,8,2,35,7,42,40,4,4,3,2,3,6,9,43,2,45,7,28,5,2,4,46,5,31,26,0,1
3,3,3,0,26,5,14,28,25,31,1,9,2,6,2,1,5,3,46,0,41,0,5,2,7,28,40,5,9,2,4,39,2,2,49,32,5,4,5,6,12,1,7,45,5,41,1,2,8,28,6,1,5,28,3,7,1,1,1,29,10,22,7,5,26,32,5,2,1,26,7,3,5,5,0,0,6,3,7,26,3,3,1,41,41,33,5,40,52,31,19,42,16,0,4,43,0,2,32,4,2,6,23,0,3,16,1,57,1,0,37,1,2,3,4,7,3,2,33,10,2,0,25,2,2,31,21,20,9,3,2,1,31,8,7,7,1,47,5,1,4,22,2,47,37,6,2,54,23,2,40,34,26,25,7,5,2,1,34,7,56,2,8,3,1,6,5,2,3,37
24,2,16,31,7,45,3,27,4,49,28,42,54,3,1,28,4,8,3,3,17,31,2,6,32,10,2,37,8,0,28,6,24,37,12,21,1,4,0,3,2,2,35,5,48,11,4,2,39,26,41,50,3,1,3,27,31,14,34,7,0,2,31,0,2,1,29,25,49,0,42,3,7,0,2,37,31,47,4,28,8,17,1,0,23,7,7,11,2,2,38,1,3,42,18,0,32,29,0,5,6,2,1,20,19,7,7,7,29,23,7,35,3,45,8,31,6,2,2,38,40,28,39,30,27,1,9,4,6,26,29,2,17,8,4,17,4,27,7,1,0,3,30,1,6,23,5,4,6,32,35,4,25,2,38,1,1,9,8,0,5,28,7,4,0,4,38,7,0,2
2,33,45,15,6,4,6,7,2,34,5,10,24,7,6,35,5,3,35,0,11,4,21,20,6,6,1,4,6,50,42,8,1,5,0,42,40,7,18,24,0,3,12,5,1,42,34,38,7,42,32,0,15,7,9,1,0,1,3,1,6,4,0,41,46,1,1,5,3,1,18,18,9,1,3,16,9,49,0,32,23,8,5,43,43,35,4,21,4,6,2,3,21,1,6,29,0,7,34,37,29,41,37,5,1,31,0,4,2,2,4,3,28,1,0,3,1,44,19,23,20,2,1,3,1,4,33,5,2,31,41,3,3,9,25,6,8,1,30,2,0,4,21,1,3,32,3,3,1,2,38,27,0,4,3,0,31,6,32,6,2,26,32,7,42,4,5,9,32,0
37,34,36,1,6,32,2,1,26,4,3,27,6,49,40,6,18,5,7,18,20,1,2,7,33,43,33,8,50,2,19,32,35,41,37,4,5,6,26,8,2,8,3,3,2,8,37,2,2,3,7,39,24,4,24,6,3,7,29,2,35,1,9,0,39,4,6,2,5,0,0,2,2,19,31,4,1,3,7,45,2,30,21,9,5,22,29,25,3,34,8,8,4,42,4,4,12,37,8,22,31,21,37,3,29,4,41,6,31,5,5,29,18,35,33,30,1,35,6,13,6,27,4,8,9,5,29,0,3,4,46,18,7,7,10,3,0,39,2,32,6,24,4,5,0,48,0,39,1,3,5,2,6,31,43,31,0,6,19,2,32,7,53,3,4,5,36,29,4,2
6,0,4,32,3,1,5,35,36,11,7,40,2,4,42,46,24,2,1,5,0,23,6,5,33,8,5,3,30,2,8,4,29,1,2,3,32,11,12,24,54,6,4,27,6,38,39,4,28,38,31,7,31,45,4,6,31,5,1,17,8,3,5,2,8,0,17,48,3,36,2,0,0,28,22,1,2,39,11,4,6,32,8,10,35,35,2,5,1,0,39,10,23,2,25,3,45,6,4,6,30,34,21,32,1,32,3,37,5,4,25,2,29,3,4,26,1,0,4,2,47,8,27,4,30,4,2,3,6,3,9,1,38,38,6,30,28,14,0,0,32,7,5,4,0,3,37,24,35,3,7,28,5,3,5,24,34,29,7,20,2,38,2,2,3,29,4,55,4,4
