1,48,7,5,5,8,4,36,0,2,39,22,27,3,7,20,28,19,4,2,3,42,22,5,33,5,7,32,24,30,4,2,31,1,5,24,31,21,28,27,26,2,3,6,2,28,0,3,8,37,8,22,3,9,3,5,21,2,20,33,41,6,28,2,51,1,5,1,3,2,34,31,2,3,0,29,1,2,18,2,3,7,37,18,8,4,0,0,26,5,28,6,4,3,28,15,11,23,28,5,42,3,4,8,3,4,3,16,5,7,40,6,3,10,27,20,25,9,1,7,9,11,7,2,28,10,6,19,0,6,2,29,1,29,1,1,38,37,1,0,37,25,9,3,16,4,11,3,1,0,7,39,3,7,3,5,24,19,34,3,8,21,8,5,4,25,10,39,0
33,3,2,0,26,6,10,5,3,6,32,47,3,4,4,3,5,33,36,26,45,44,22,5,2,39,4,38,35,8,5,5,1,2,5,32,4,4,39,38,25,30,7,33,5,27,2,0,6,2,9,18,7,4,24,2,8,5,28,4,1,5,6,3,1,4,1,18,6,4,4,5,4,1,42,24,26,6,1,5,1,8,7,31,5,12,52,9,9,2,3,28,5,5,24,0,3,0,2,8,8,1,4,23,5,8,5,28,6,1,5,2,9,20,0,36,4,24,28,6,0,4,2,1,7,24,4,21,6,1,7,14,22,21,2,4,20,1,36,5,5,35,2,2,1,4,2,1,37,3,4,5,8,40,3,1,4,8,8,2,24,49,0,0,18,3,5,29,0
5,3,2,1,2,2,39,3,22,1,16,2,4,4,0,1,1,0,0,7,39,3,28,1,5,13,33,1,32,24,4,6,4,5,31,4,10,3,2,12,10,12,4,51,4,1,5,3,5,6,2,3,37,17,6,3,4,1,37,4,5,2,10,3,7,1,6,0,2,6,7,0,0,4,7,8,2,4,5,4,32,3,17,29,24,1,6,27,4,2,3,28,16,8,8,5,27,3,4,6,40,0,2,6,3,31,1,6,4,4,40,2,30,18,1,6,50,10,32,3,29,58,1,0,6,3,4,5,45,13,27,3,2,5,6,4,2,4,0,40,3,8,7,4,12,2,20,36,34,10,2,34,7,4,31,48,30,3,47,32,3,5,0,1,32,16,5,36,10
56,6,36,5,6,12,8,26,8,5,1,1,42,46,25,0,19,3,34,5,5,41,5,2,9,34,0,3,6,6,30,1,8,5,4,37,6,8,20,38,0,24,32,40,8,4,31,8,36,0,8,5,35,27,27,38,11,7,4,6,30,0,6,20,3,6,24,3,25,0,4,2,18,6,3,7,2,10,12,5,0,11,1,7,3,2,33,6,25,10,6,0,7,4,7,5,5,0,2,9,38,1,6,47,7,1,34,0,8,27,32,30,4,9,26,5,17,2,6,28,4,0,4,25,0,6,26,2,6,1,7,29,5,6,8,18,39,2,30,5,0,3,7,5,7,23,28,24,3,5,6,4,37,42,7,0,4,28,5,5,2,11,20,7,3,7,2,33,29
7,3,6,5,1,0,6,4,0,16,2,7,25,23,16,40,18,5,22,20,2,43,7,4,8,2,6,4,18,7,2,25,3,7,11,3,5,42,1,40,7,2,8,10,10,45,3,40,7,7,6,0,27,6,23,0,6,14,1,4,31,39,28,11,7,33,23,22,5,6,31,8,33,4,5,21,23,7,3,23,23,23,32,8,6,17,30,23,27,0,14,34,31,20,0,9,17,6,7,9,2,34,3,26,30,0,2,27,5,1,18,14,3,23,1,7,16,3,2,3,10,3,6,3,1,6,27,5,2,4,4,11,2,34,19,11,6,4,30,19,15,32,9,4,23,5,36,25,4,19,3,22,3,26,47,9,32,39,9,4,20,5,1,7,0,35,3,1,1
0,35,36,7,26,34,18,32,22,3,42,11,28,1,1,3,5,29,10,59,0,0,7,17,4,2,0,6,26,0,28,4,0,25,5,0,7,0,0,1,2,21,6,1,5,19,6,6,5,0,16,4,3,38,8,28,25,11,20,3,5,3,1,9,5,3,1,39,29,2,47,19,0,7,19,7,7,44,22,15,7,4,18,6,6,2,1,33,37,5,28,0,1,8,1,4,3,28,38,20,0,37,2,0,8,30,7,1,5,1,3,8,4,40,2,11,3,34,6,0,2,0,23,3,5,43,25,3,9,2,29,24,3,4,23,6,1,29,4,19,6,30,43,19,43,3,27,22,20,7,6,24,6,10,35,32,23,13,44,7,40,1,14,33,0,45,30,4,5
26,5,33,10,8,3,30,5,34,7,41,2,0,2,4,3,8,48,8,39,3,4,5,3,23,0,32,44,4,8,28,1,12,32,40,7,2,5,3,6,21,7,6,3,10,3,6,3,24,3,34,3,7,3,31,27,1,1,3,3,2,0,6,6,6,7,2,5,1,39,24,1,4,5,21,31,0,2,6,2,31,41,33,2,1,2,4,7,1,4,5,32,33,3,1,3,40,6,0,20,6,26,41,5,6,2,3,1,35,10,3,4,21,0,3,6,7,20,4,27,34,7,8,1,5,2,26,6,30,5,5,3,23,2,4,26,3,33,0,29,28,49,1,35,3,28,2,1,9,3,5,26,3,5,4,5,2,9,38,2,6,4,6,7,23,7,6,35,41
4,3,6,17,4,7,3,0,1,8,23,4,38,3,1,39,46,33,29,4,36,5,1,41,24,38,1,27,5,23,2,0,33,3,2,29,32,34,5,3,1,2,1,5,1,3,6,2,34,3,27,37,4,2,17,13,33,0,0,7,45,1,32,42,6,36,5,9,6,1,22,33,47,4,42,4,4,3,4,0,48,2,29,5,8,17,40,4,36,4,3,39,1,25,7,21,0,32,19,6,6,4,37,23,4,8,31,3,3,10,7,9,1,7,2,3,5,34,5,5,3,4,5,1,9,7,4,2,26,10,3,34,35,7,4,5,4,0,14,0,2,38,3,23,36,6,4,5,1,33,1,2,5,35,26,5,5,4,20,27,6,5,2,6,5,3,1,1,30
8,20,34,3,3,7,24,6,42,32,4,11,29,6,2,6,1,41,23,1,36,4,6,4,0,6,25,1,5,4,3,5,4,7,5,47,23,29,33,16,41,5,6,34,5,0,7,16,3,9,8,32,5,1,1,0,39,3,7,2,50,39,18,35,4,33,3,5,38,1,0,7,0,9,35,2,4,6,40,27,39,5,20,3,26,5,29,4,5,6,1,2,7,7,2,8,3,7,17,37,14,1,0,3,5,2,32,40,1,6,46,23,22,0,3,0,7,3,3,4,5,43,31,39,3,48,8,2,5,2,41,3,2,1,8,22,7,43,5,4,1,40,3,1,2,4,2,44,2,6,6,44,2,23,7,50,1,0,7,17,36,4,5,3,4,16,2,44,43
22,10,5,5,29,10,2,51,25,15,34,38,3,3,5,34,0,3,5,5,35,31,5,1,10,1,1,0,29,5,30,26,2,3,4,6,9,7,4,39,6,40,5,5,2,3,5,33,3,1,4,7,5,2,1,5,7,40,3,7,38,3,29,2,44,4,3,36,6,19,5,2,2,10,3,27,6,36,3,4,8,4,22,1,7,36,35,41,4,3,25,5,1,3,36,26,42,29,10,4,5,3,25,29,5,24,40,0,1,40,6,35,8,30,6,38,0,30,31,20,3,0,22,3,15,4,38,1,0,1,8,0,1,13,23,7,51,38,5,39,1,0,6,6,5,4,32,27,12,0,4,17,47,5,5,5,5,39,29,2,3,1,45,6,35,5,7,30,26
